"","PERNMO","TICKER","YEAR","Annual Returns","MCap"
"51","10014","",1929,-0.0303033535580466,2090916
"52","10014","",1930,-0.0937503351507307,2090916
"53","10014","",1931,1.04863456299925,2096704
"54","10014","",1932,-0.0634437011739309,2073600
"55","10014","",1933,0.809134861256404,2073600
"56","10014","",1934,-0.104286250164382,2226064
"57","10014","",1935,-0.122480906417133,2250000
"58","10014","",1936,0.0305157988842963,2250000
"59","10014","",1937,-0.12370113776398,2250000
"60","10014","",1938,-0.0148217976412561,2250000
"61","10014","",1939,-0.305410227459931,2250000
"62","10014","",1940,-0.189775874167668,2244004
"63","10014","",1941,-0.617243644858279,2244004
"64","10014","",1942,1.15384220170381,2211169
"65","10014","",1943,0.714283684330339,2211169
"66","10014","",1944,0.0625000392245612,2211169
"67","10014","",1945,0.352940817097867,2211169
"68","10014","",1946,-0.376811367099059,2211169
"69","10014","",1947,-0.325581528794765,2211169
"70","10014","",1948,-0.20689629988132,2211169
"71","10014","",1949,0.0869557525083924,2211169
"72","10014","",1950,-0.159999954767442,2211169
"73","10014","",1951,4.21807455186496e-07,2211169
"74","10014","",1952,0.0476216465451449,2211169
"75","10014","",1953,-0.272727878749487,2211169
"76","10014","",1954,0.625001768930252,2211169
"77","10014","",1955,-0.0769220065686322,2211169
"78","10014","",1956,-0.1250019805751,2211169
"79","10014","",1957,-0.190476682156012,2211169
"80","10014","",1958,0.882354984776454,2211169
"81","10014","",1959,0.124999940568997,2211169
"82","10014","",1960,-0.111111614845503,4765489
"83","10014","",1961,0.187499213217033,6270016
"84","10014","",1962,-0.198684286594253,10381284
"85","10014","",1963,-0.206896891540458,10850436
"86","10014","",1964,-0.130434930916074,11350161
"87","10014","",1965,0.29999843308339,11350161
"88","10014","",1966,0.0769209420475923,11350161
"89","10014","",1967,1.85714003057605,11370384
"90","10014","",1968,0.575000005265782,12489156
"91","10014","",1969,-0.547619239276904,16883881
"92","10014","",1970,-0.438595926636859,16908544
"93","10014","",1971,0.0624999188489337,21362884
"94","10014","",1972,-0.176470835407307,23001616
"95","10014","",1973,-0.464284987375645,29811600
"96","10014","",1974,-0.400000638465489,29811600
"97","10014","",1975,0.66666622309741,25775929
"98","10014","",1976,1.40000020801188,25190361
"99","10014","",1977,0.0555553189151576,25190361
"100","10015","",1983,0.1999999153846,0
"101","10015","AMFD",1984,-0.491666838581267,12744900
"102","10015","AMFD",1985,1.65573708160605,12744900
"103","10015","AMFD",1986,0.481480418594044,15904144
"104","10016","",1985,0,0
"105","10016","FIGIA",1986,0.42471586886279,21068100
"106","10016","FIGIA",1987,0.00440102361625128,21086464
"107","10016","FIGIA",1988,0.406526192306288,21013056
"108","10016","FIGIA",1989,-0.107615751441379,29278921
"109","10016","FIGIA",1990,-0.347483901470536,184851216
"110","10016","FIGIA",1991,-0.0045331698178912,184932801
"111","10016","FIGIA",1992,0.299971030028337,184796836
"112","10016","FIGIA",1993,-0.165568882154925,184036356
"113","10016","FIGIA",1994,-0.550458337522067,189090001
"114","10016","FIGIA",1995,0.693876204274732,187553025
"115","10016","FIGIA",1996,0.156627320677702,186349801
"116","10016","FIGIA",1997,0.0937487773455634,187553025
"117","10016","FIGIA",1998,0.259522630623876,188485441
"118","10016","FIGIA",1999,0.141776492513209,330766969
"119","10016","FIGIA",2000,0.185430651172583,319301161
"120","10016","FIGIA",2001,0.0502788078598144,287777296
"121","10017","",1985,0,0
"122","10017","CCUR",1986,-0.230768827145375,131515024
"123","10017","CCUR",1987,0.0461535173981145,131400369
"124","10017","CCUR",1988,0.139705236045339,133056225
"125","10018","",1985,0,0
"126","10018","DCIS",1986,-0.720588287411706,4857616
"127","10018","DCIS",1987,-0.763157548743879,5189284
"128","10018","DCIS",1988,-0.388889009599383,5189284
"129","10018","DCIS",1989,0.636363129186192,5189284
"130","10018","DCIS",1990,1.50000157743168,9333025
"131","10018","DCIS",1991,0.66666872230893,9431041
"132","10018","DCIS",1992,0.706665793314268,9431041
"133","10018","DCIS",1993,-0.562499790364603,46212804
"134","10018","DCIS",1994,0.142857193485641,46389721
"135","10018","DCIS",1995,-0.87499996666669,46389721
"136","10019","",1985,0,0
"137","10019","IFRS",1986,-0.156757023650972,38130625
"138","10019","IFRS",1987,-0.247115686316994,38130625
"139","10019","IFRS",1988,0.545245961353644,38130625
"140","10019","IFRS",1989,0.250001921952534,33443089
"141","10019","IFRS",1990,-0.527271893396154,35796289
"142","10019","IFRS",1991,-0.0576927427924239,29953729
"143","10019","IFRS",1992,0.367345279286807,28654609
"144","10019","IFRS",1993,-0.0746274070460042,27123264
"145","10019","IFRS",1994,0.225807043661384,27436644
"146","10019","IFRS",1995,-0.0263163918180195,27772900
"147","10019","IFRS",1996,0.702703336441853,29942784
"148","10019","IFRS",1997,0.481579919240359,29333056
"149","10019","IFRS",1998,-0.701613161387533,67322025
"150","10019","IFRS",1999,1.17567118528181,67371264
"151","10019","IFRS",2000,-0.652173407411873,67667076
"152","10019","IFRS",2001,-0.64285737914364,68392900
"153","10019","IFRS",2002,0.0720007881033142,68591524
"154","10020","",1985,0,0
"155","10020","KEYC",1986,0.261406943768319,17977600
"156","10020","KEYC",1987,0.246956904265557,33640000
"157","10020","KEYC",1988,-0.164281633788287,74442384
"158","10020","KEYC",1989,-0.0480413737396506,411318961
"159","10020","KEYC",1990,-0.123216617327181,430811536
"160","10020","KEYC",1991,0.349200950434899,418202500
"161","10020","KEYC",1992,0.621788461886249,578162025
"162","10020","KEYC",1993,0.050984970393861,599907049
"163",NA,NA,NA,NA,NA
"164",NA,NA,NA,NA,NA
"165",NA,NA,NA,NA,NA
"166",NA,NA,NA,NA,NA
"167",NA,NA,NA,NA,NA
"168",NA,NA,NA,NA,NA
"169",NA,NA,NA,NA,NA
"170",NA,NA,NA,NA,NA
"171",NA,NA,NA,NA,NA
"172",NA,NA,NA,NA,NA
"173",NA,NA,NA,NA,NA
"174",NA,NA,NA,NA,NA
"175",NA,NA,NA,NA,NA
"176",NA,NA,NA,NA,NA
"177",NA,NA,NA,NA,NA
"178",NA,NA,NA,NA,NA
"179",NA,NA,NA,NA,NA
"180",NA,NA,NA,NA,NA
"181",NA,NA,NA,NA,NA
"182",NA,NA,NA,NA,NA
"183",NA,NA,NA,NA,NA
"184",NA,NA,NA,NA,NA
"185",NA,NA,NA,NA,NA
"186",NA,NA,NA,NA,NA
"187",NA,NA,NA,NA,NA
"188",NA,NA,NA,NA,NA
"189",NA,NA,NA,NA,NA
"190",NA,NA,NA,NA,NA
"191",NA,NA,NA,NA,NA
"192",NA,NA,NA,NA,NA
"193",NA,NA,NA,NA,NA
"194",NA,NA,NA,NA,NA
"195",NA,NA,NA,NA,NA
"196",NA,NA,NA,NA,NA
"197",NA,NA,NA,NA,NA
"198",NA,NA,NA,NA,NA
"199",NA,NA,NA,NA,NA
"200",NA,NA,NA,NA,NA
"201",NA,NA,NA,NA,NA
"202",NA,NA,NA,NA,NA
"203",NA,NA,NA,NA,NA
"204",NA,NA,NA,NA,NA
"205",NA,NA,NA,NA,NA
"206",NA,NA,NA,NA,NA
"207",NA,NA,NA,NA,NA
"208",NA,NA,NA,NA,NA
"209",NA,NA,NA,NA,NA
"210",NA,NA,NA,NA,NA
"211",NA,NA,NA,NA,NA
"212",NA,NA,NA,NA,NA
"213",NA,NA,NA,NA,NA
"214",NA,NA,NA,NA,NA
"215",NA,NA,NA,NA,NA
"216",NA,NA,NA,NA,NA
"217",NA,NA,NA,NA,NA
"218",NA,NA,NA,NA,NA
"219",NA,NA,NA,NA,NA
"220",NA,NA,NA,NA,NA
"221",NA,NA,NA,NA,NA
"222",NA,NA,NA,NA,NA
"223",NA,NA,NA,NA,NA
"224",NA,NA,NA,NA,NA
"225",NA,NA,NA,NA,NA
"226",NA,NA,NA,NA,NA
"227",NA,NA,NA,NA,NA
"228",NA,NA,NA,NA,NA
"229",NA,NA,NA,NA,NA
"230",NA,NA,NA,NA,NA
"231",NA,NA,NA,NA,NA
"232",NA,NA,NA,NA,NA
"233",NA,NA,NA,NA,NA
"234",NA,NA,NA,NA,NA
"235",NA,NA,NA,NA,NA
"236",NA,NA,NA,NA,NA
"237",NA,NA,NA,NA,NA
"238",NA,NA,NA,NA,NA
"239",NA,NA,NA,NA,NA
"240",NA,NA,NA,NA,NA
"241",NA,NA,NA,NA,NA
"242",NA,NA,NA,NA,NA
"243",NA,NA,NA,NA,NA
"244",NA,NA,NA,NA,NA
"245",NA,NA,NA,NA,NA
"246",NA,NA,NA,NA,NA
"247",NA,NA,NA,NA,NA
"248",NA,NA,NA,NA,NA
"249",NA,NA,NA,NA,NA
"250",NA,NA,NA,NA,NA
"251",NA,NA,NA,NA,NA
"252",NA,NA,NA,NA,NA
"253",NA,NA,NA,NA,NA
"254",NA,NA,NA,NA,NA
"255",NA,NA,NA,NA,NA
"256",NA,NA,NA,NA,NA
"257",NA,NA,NA,NA,NA
"258",NA,NA,NA,NA,NA
"259",NA,NA,NA,NA,NA
"260",NA,NA,NA,NA,NA
"261",NA,NA,NA,NA,NA
"262",NA,NA,NA,NA,NA
"263",NA,NA,NA,NA,NA
"264",NA,NA,NA,NA,NA
"265",NA,NA,NA,NA,NA
"266",NA,NA,NA,NA,NA
"267",NA,NA,NA,NA,NA
"268",NA,NA,NA,NA,NA
"269",NA,NA,NA,NA,NA
"270",NA,NA,NA,NA,NA
"271",NA,NA,NA,NA,NA
"272",NA,NA,NA,NA,NA
"273",NA,NA,NA,NA,NA
"274",NA,NA,NA,NA,NA
"275",NA,NA,NA,NA,NA
"276",NA,NA,NA,NA,NA
"277",NA,NA,NA,NA,NA
"278",NA,NA,NA,NA,NA
"279",NA,NA,NA,NA,NA
"280",NA,NA,NA,NA,NA
"281",NA,NA,NA,NA,NA
"282",NA,NA,NA,NA,NA
"283",NA,NA,NA,NA,NA
"284",NA,NA,NA,NA,NA
"285",NA,NA,NA,NA,NA
"286",NA,NA,NA,NA,NA
"287",NA,NA,NA,NA,NA
"288",NA,NA,NA,NA,NA
"289",NA,NA,NA,NA,NA
"290",NA,NA,NA,NA,NA
"291",NA,NA,NA,NA,NA
"292",NA,NA,NA,NA,NA
"293",NA,NA,NA,NA,NA
"294",NA,NA,NA,NA,NA
"295",NA,NA,NA,NA,NA
"296",NA,NA,NA,NA,NA
"297",NA,NA,NA,NA,NA
"298",NA,NA,NA,NA,NA
"299",NA,NA,NA,NA,NA
"300",NA,NA,NA,NA,NA
"301",NA,NA,NA,NA,NA
"302",NA,NA,NA,NA,NA
"303",NA,NA,NA,NA,NA
"304",NA,NA,NA,NA,NA
"305",NA,NA,NA,NA,NA
"306",NA,NA,NA,NA,NA
"307",NA,NA,NA,NA,NA
"308",NA,NA,NA,NA,NA
"309",NA,NA,NA,NA,NA
"310",NA,NA,NA,NA,NA
"311",NA,NA,NA,NA,NA
"312",NA,NA,NA,NA,NA
"313",NA,NA,NA,NA,NA
"314",NA,NA,NA,NA,NA
"315",NA,NA,NA,NA,NA
"316",NA,NA,NA,NA,NA
"317",NA,NA,NA,NA,NA
"318",NA,NA,NA,NA,NA
"319",NA,NA,NA,NA,NA
"320",NA,NA,NA,NA,NA
"321",NA,NA,NA,NA,NA
"322",NA,NA,NA,NA,NA
"323",NA,NA,NA,NA,NA
"324",NA,NA,NA,NA,NA
"325",NA,NA,NA,NA,NA
"326",NA,NA,NA,NA,NA
"327",NA,NA,NA,NA,NA
"328",NA,NA,NA,NA,NA
"329",NA,NA,NA,NA,NA
"330",NA,NA,NA,NA,NA
"331",NA,NA,NA,NA,NA
"332",NA,NA,NA,NA,NA
"333",NA,NA,NA,NA,NA
"334",NA,NA,NA,NA,NA
"335",NA,NA,NA,NA,NA
"336",NA,NA,NA,NA,NA
"337",NA,NA,NA,NA,NA
"338",NA,NA,NA,NA,NA
"339",NA,NA,NA,NA,NA
"340",NA,NA,NA,NA,NA
"341",NA,NA,NA,NA,NA
"342",NA,NA,NA,NA,NA
"343",NA,NA,NA,NA,NA
"344",NA,NA,NA,NA,NA
"345",NA,NA,NA,NA,NA
"346",NA,NA,NA,NA,NA
"347",NA,NA,NA,NA,NA
"348",NA,NA,NA,NA,NA
"349",NA,NA,NA,NA,NA
"350",NA,NA,NA,NA,NA
