Stock No,TICKER,CUSIP,Avg CashFlow,Avg Lev Ratio (BV),Avg Lev Ratio (MV),Avg Earnings
118,CSL,142339100,2561.2,0.3,0.2,152.1
119,ASWRF,40281L109,-1.3,0,0,-1.7
120,CRS,144285103,-362.5,0.3,0.4,88.3
121,CASY,147528103,222.2,0.4,0.2,90.3
122,CTAM,148411309,-177.7,0.5,1.3,-19.5
123,CAT,149123101,17087.5,0.8,0.7,2691.8
124,CATO,149205106,-114.5,0,0,48
125,RFIL,749552105,31.8,0,0,1.3
126,CTNR,15459P108,21.2,0.1,0.1,0.5
127,CSTW,155411101,130.6,0.1,0.2,6.7
128,CTL,156700106,-17086.5,0.7,0.8,493.9
129,MGLN,559079207,1769.6,-1.2,53,58.1
130,CMD,138098108,370.6,0.2,0.1,19.2
131,CHE,16359R103,-436.3,0.3,0.2,54.4
132,CLSN,15117N503,30.7,0.3,0.1,-11.3
133,CVX,166764100,94656.2,0.1,0.1,14490.7
134,CVR,168088102,-3.9,0,0,1.2
135,EAT,109641100,759.1,0.6,0.2,150.8
136,CHD,171340102,-133.5,0.4,0.2,208.5
137,CHDN,171484108,-787.7,0.3,0.2,35.6
138,CBB,171871502,-3981.9,16.5,2.6,-173.1
139,CTAS,172908105,10910.8,0.3,0.2,317.3
140,IHRT,45174J103,-4006.8,-1.2,41.7,-1792.3
141,CLF,185899101,578.1,15.5,1.1,-260.9
142,CLX,189054109,1166.7,0.9,0.2,537.4
143,COKE,191098102,2357.6,1.1,1.8,25.9
144,KO,191216100,25418.8,0.2,0.1,6211.7
145,CDE,192108504,1328.5,0.6,0.9,-139.2
146,COHR,192479103,-477.5,0,0,34.8
147,COHU,192576106,379,0,0,4.5
148,CL,194162103,2877.5,0.7,0.1,1740.5
149,CCOM,12504V107,-38.8,0.1,0.5,-0.5
150,CCF,16150R104,187.7,0.2,0.2,10.5
151,CMRO,200080109,-30.5,0,0,-2.5
152,CMCSA,20030N101,11357.5,0.4,0.5,3509.8
153,CMC,201723103,120.4,0.4,0.6,107.5
154,JCS,203900105,-44.6,0,0,3.7
155,CA,12673P105,22200,0.2,0.2,348.7
156,DXC,23355L106,1196,0.3,0.3,249
157,CTG,205477102,128,0,0.1,3.2
158,CMTL,205826209,1563,0.3,0.2,33.5
